Date,Close/Last,Volume,Open,High,Low
05/16/2019,$18.17,10288960,$18.03,$18.45,$17.8
05/15/2019,$18.06,5657637,$18.36,$18.44,$18
05/14/2019,$18.36,7932200,$18.3,$18.415,$17.995
05/13/2019,$18.23,10616820,$18.35,$18.38,$17.96
05/10/2019,$18.6,10992610,$19.46,$19.56,$18.4
05/09/2019,$19.35,7473779,$20.14,$20.23,$18.95
05/08/2019,$20.26,9509087,$20.8,$20.87,$20.132
05/07/2019,$21,8308776,$21.36,$21.58,$20.9
05/06/2019,$21.34,3252942,$20.88,$21.8,$20.8
05/03/2019,$21.49,3080158,$20.73,$21.61,$20.72
05/02/2019,$20.96,7570354,$21.95,$22.6,$20.71
05/01/2019,$21.7,6483388,$22.66,$22.66,$21.51
04/30/2019,$22.52,4419001,$23.43,$23.47,$22.495
04/29/2019,$23.42,4915518,$23.4,$23.8,$23.272
04/26/2019,$23.41,8884706,$23.05,$23.41,$22.755
04/25/2019,$23.09,5320426,$22.67,$23.24,$22.23
04/24/2019,$22.93,16765690,$22.32,$23.45,$22.05
04/23/2019,$21.53,11613170,$21.5,$21.78,$21.3
04/22/2019,$21.4,5000539,$20.88,$21.6,$20.87
04/18/2019,$21,5203534,$21.7,$21.73,$20.81
04/17/2019,$21.85,5428955,$22.81,$22.81,$21.71
04/16/2019,$22.26,7656096,$23.55,$23.75,$22.135
04/15/2019,$23.72,20522910,$22.76,$24.9,$22.02
04/12/2019,$23.08,26740650,$19.18,$23.22,$18.83
04/11/2019,$19.13,3403715,$18.98,$19.6,$18.9
04/10/2019,$18.87,1970937,$18.82,$19.2,$18.7901
04/09/2019,$18.82,6421194,$19.65,$19.86,$18.74
04/08/2019,$19.68,8206455,$19.42,$20.06,$19.394
04/05/2019,$19.37,3569696,$19.07,$19.425,$18.88
04/04/2019,$18.86,7950178,$18.9,$19.64,$18.76
04/03/2019,$18.47,9989626,$18.16,$18.75,$17.86
04/02/2019,$17.66,5643144,$17.97,$18.42,$17.63
04/01/2019,$18.01,4114625,$17.59,$18.03,$17.18
03/29/2019,$17.8,3587344,$17.39,$17.81,$16.96
03/28/2019,$17.25,12481050,$18.04,$18.13,$15.49
03/27/2019,$17.68,5906818,$17.93,$17.995,$17.4
03/26/2019,$17.95,3536529,$18.27,$18.75,$17.92
03/25/2019,$18.21,11088990,$19.38,$19.38,$17.5
03/22/2019,$19.42,9340447,$19.1,$19.48,$18.9
03/21/2019,$19.05,2472645,$19.03,$19.15,$18.82
03/20/2019,$19.08,2364273,$18.93,$19.36,$18.8364
03/19/2019,$19.07,6894899,$19.43,$19.48,$18.71
03/18/2019,$19.43,6636289,$19.8,$19.8,$19.21
03/15/2019,$19.65,8072548,$19.58,$19.67,$18.96
03/14/2019,$19.51,6437323,$19.39,$19.56,$19.255
03/13/2019,$19.46,12756500,$19.6,$19.61,$18.81
03/12/2019,$19.22,4570663,$19.39,$19.52,$19.16
03/11/2019,$19.38,5576780,$19.4,$19.57,$19.14
03/08/2019,$19.39,3933642,$18.88,$19.4,$18.77
03/07/2019,$19.07,7067817,$18.48,$19.17,$18.41
03/06/2019,$18.36,8634511,$18.16,$19.2,$18.15
03/05/2019,$18.31,7425184,$18,$18.44,$17.97
03/04/2019,$18.05,8041247,$18.14,$18.19,$17.71
03/01/2019,$17.91,11296730,$17.1,$18.27,$17.05
02/28/2019,$17.03,11968930,$17.85,$17.86,$16.23
02/27/2019,$17.8,11936700,$18.68,$18.85,$17.35
02/26/2019,$18.52,5204881,$18.65,$19.03,$18.32
02/25/2019,$18.65,5900428,$18.8,$18.83,$17.9174
02/22/2019,$18.77,16297840,$19.88,$19.99,$17.78
02/21/2019,$19.4,21992470,$18.45,$19.95,$18.3
02/20/2019,$18.21,12191960,$18.06,$18.48,$17.76
02/19/2019,$17.74,29406480,$16.35,$18.51,$16.13
02/15/2019,$15.48,4821193,$15.45,$15.68,$15.395
02/14/2019,$15.47,7239714,$15.35,$15.55,$15.12
02/13/2019,$15.21,8672606,$15.5,$16,$15.15
02/12/2019,$15.43,11535180,$14.81,$15.47,$14.3801
02/11/2019,$14.33,7212704,$14.32,$14.66,$14.08
02/08/2019,$14.2,6486042,$13.93,$14.57,$13.7103
02/07/2019,$14.06,8912948,$13.5,$14.15,$13.42
02/06/2019,$13.67,5936390,$14.12,$14.14,$13.66
02/05/2019,$14.08,9152039,$13.26,$14.25,$13.17
02/04/2019,$13.29,8509103,$13.37,$13.39,$12.8
02/01/2019,$13.08,6476114,$12.88,$13.25,$12.8107
01/31/2019,$13,12103300,$13.38,$13.658,$12.73
01/30/2019,$13.67,19655890,$14.15,$14.15,$13.15
01/29/2019,$13.99,55659920,$12.31,$14.35,$12.23
01/28/2019,$12.01,55803730,$10.61,$14.15,$10.61
01/25/2019,$11.77,72315550,$12.7,$12.86,$11.51
01/24/2019,$13.95,81814440,$7.9,$14.5,$7.3
01/23/2019,$7.99,21616300,$7.96,$8.05,$7.52
01/22/2019,$7.7,59294910,$7.16,$8.38,$7
01/18/2019,$7.23,53286620,$6.66,$7.46,$6.54
01/17/2019,$6.36,202774600,$8.3,$8.32,$6.31
01/16/2019,$7.03,78288700,$6.45,$7.11,$6.31
01/15/2019,$6.91,172705600,$6.28,$7.2,$5.07
01/14/2019,$8.38,127080400,$9.21,$9.73,$7.78
01/11/2019,$17.59,19727270,$17,$17.96,$16.72
01/10/2019,$17.76,24695430,$18.05,$19.2,$17.07
